id;address_text;landmark;latitude;longitude
1;custody;excluding but coliseum;-19.29;-135.49
2;indeed;where;49.05;119.1
3;operating pave;gadzooks warm;50.26;-27.62
4;unless equally jealous;affectionate up;-5.09;-7.55
5;above recklessly;sesame drum;27.01;-89.53
6;gee tensely where;self-assured lest infinite;61.21;41.38
7;as as;fellow;76.75;-116.81
8;loudly whether;frantically yippee within;68.92;54.06
9;er unwilling generally;ack pace;9.21;49.81
10;phooey triangular gee;navigate gurn carouse;26.68;-138.32
11;knottily;versus ribbon per;-25.64;71.22
12;immediately;towards poetry;-86.56;-66.14
13;uh-huh;bump;47.93;80.7
14;disadvantage strange;pro;46.4;-99.46
15;publicity;about than following;3.04;132.38
16;phooey drat;jot sedately crowded;-16.07;160.26
17;following circa;inasmuch general;39.77;32.26
18;granny for;minus privilege;-68.09;-120.09
19;corral satirise;mmm typeface;37.4;-156.91
20;like release;sandy aw;-18.02;110.34
21;eek effector ah;lively;58.5;-161.26
22;poor ocelot;casement;-73.77;-39.08
23;plus incidentally;fictionalize;67.72;-14.39
24;farm;treasure;-81.39;-100.76
25;requite pleased;yippee;82.78;53.59
26;circa slowly;calculating;-76.54;-118.92
27;descriptive safely yahoo;mid;-36.55;-144.31
28;amongst;correctly;-78.49;36
29;stoop around;substitution whenever;-69.06;172.05
30;yum energetically;fooey quickly cautious;70.38;124.38
